id,flat_href,img_href,address,price,title,type,surface,price_num
506,https://www.sreality.cz/detail/pronajem/byt/3+kk/ostrava-martinov-martinovska/3708143180,"https://d18-a.sdn.cz/d_18/c_img_QK_JX/rn2HqG.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Martinovská, Ostrava - Martinov",17 000,Pronájem bytu 3+kk 70 m²,3+kk,70,17000
507,https://www.sreality.cz/detail/pronajem/byt/2+1/plzen-skvrnany-machackova/3036165708,"https://d18-a.sdn.cz/d_18/c_img_gQ_n/ncqSgB.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Macháčkova, Plzeň - Skvrňany",11 000,Pronájem bytu 2+1 53 m²,2+1,53,11000
508,https://www.sreality.cz/detail/pronajem/byt/2+1/nyrany-nyrany-antonina-uxy/663439708,"https://d18-a.sdn.cz/d_18/c_img_QI_JX/SUUC0F.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Antonína Uxy, Nýřany",11 000,Pronájem bytu 2+1 70 m²,2+1,70,11000
509,https://www.sreality.cz/detail/pronajem/byt/2+1/plzen-doubravka-smrkova/3801953868,"https://d18-a.sdn.cz/d_18/c_img_QL_Ju/S9QMN8.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Smrková, Plzeň - Doubravka",11 000,Pronájem bytu 2+1 63 m²,2+1,63,11000
510,https://www.sreality.cz/detail/pronajem/byt/2+1/brno-lesna-arbesova/2828457548,"https://d18-a.sdn.cz/d_18/c_img_QM_KP/GvcBwc.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Arbesova, Brno - Lesná",14 900,Pronájem bytu 2+1 60 m²,2+1,60,14900
511,https://www.sreality.cz/detail/pronajem/byt/2+1/jirkov-jirkov-/185976396,"https://d18-a.sdn.cz/d_18/c_img_gX_m/srnaW3.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Jirkov, okres Chomutov",10 220,Pronájem bytu 2+1 51 m²,2+1,51,10220
512,https://www.sreality.cz/detail/pronajem/byt/2+1/ostrava-zabreh-horymirova/4247357004,"https://d18-a.sdn.cz/d_18/c_img_gQ_m/qvYsqX.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Horymírova, Ostrava - Zábřeh",10 700,Pronájem bytu 2+1 45 m²,2+1,45,10700
513,https://www.sreality.cz/detail/pronajem/byt/3+kk/mlada-boleslav-mlada-boleslav-ii-17--listopadu/4275517004,"https://d18-a.sdn.cz/d_18/c_img_QR_L2/MrmO4u.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","17. listopadu, Mladá Boleslav - Mladá Boleslav II",20 000,Pronájem bytu 3+kk 84 m²,3+kk,84,20000
514,https://www.sreality.cz/detail/pronajem/byt/2+1/pardubice-bile-predmesti-bezdickova/3574675020,"https://d18-a.sdn.cz/d_18/c_img_gU_m/qZvZft.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Bezdíčkova, Pardubice - Bílé Předměstí",10 500,Pronájem bytu 2+1 55 m²,2+1,55,10500
515,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-kosire-tumova/2090808908,"https://d18-a.sdn.cz/d_18/c_img_gW_m/R3YWEM.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Tůmova, Praha 5 - Košíře",17 000,Pronájem bytu 3+kk 79 m²,3+kk,79,17000
516,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-krc-na-strzi/3897964108,"https://d18-a.sdn.cz/d_18/c_img_QK_JX/F1EPDw.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Na Strži, Praha 4 - Krč",18 000,Pronájem bytu 3+kk 72 m²,3+kk,72,18000
517,https://www.sreality.cz/detail/pronajem/byt/2+1/plzen-vychodni-predmesti-uslavska/188823116,"https://d18-a.sdn.cz/d_18/c_img_gU_m/GrrZeK.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Úslavská, Plzeň - Východní Předměstí",14 000,Pronájem bytu 2+1 51 m²,2+1,51,14000
518,https://www.sreality.cz/detail/pronajem/byt/3+kk/kladruby-kladruby-zapadni/1958118988,"https://d18-a.sdn.cz/d_18/c_img_QP_Kn/BOAejF.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Západní, Kladruby",14 000,Pronájem bytu 3+kk 90 m²,3+kk,90,14000
519,https://www.sreality.cz/detail/pronajem/byt/3+kk/chyne-chyne-u-drahy/3273164364,"https://d18-a.sdn.cz/d_18/c_img_QI_JW/duRZLh.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","U Dráhy, Chýně",19 100,Pronájem bytu 3+kk 84 m²,3+kk,84,19100
520,https://www.sreality.cz/detail/pronajem/byt/2+1/teplice-teplice-alejni/4026480204,"https://d18-a.sdn.cz/d_18/c_img_gQ_n/zHVVEX.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Alejní, Teplice",10 000,Pronájem bytu 2+1 55 m²,2+1,55,10000
521,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-liboc-evropska/811415116,"https://d18-a.sdn.cz/d_18/c_img_gR_m/r5VWm0.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Evropská, Praha 6 - Liboc",24 000,Pronájem bytu 3+kk 67 m²,3+kk,67,24000
522,https://www.sreality.cz/detail/pronajem/byt/2+1/hradec-kralove-piletice-pileticka/1772090956,"https://d18-a.sdn.cz/d_18/c_img_gR_l/h25CiT.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Piletická, Hradec Králové - Piletice",12 500,Pronájem bytu 2+1 55 m²,2+1,55,12500
523,https://www.sreality.cz/detail/pronajem/byt/3+kk/opava-katerinky-kalikova/3113748828,"https://d18-a.sdn.cz/d_18/c_img_QL_Js/deWa6C.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Kálikova, Opava - Kateřinky",11 000,Pronájem bytu 3+kk 93 m² (Mezonet),3+kk,93,11000
524,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-strasnice-vratkovska/590923340,"https://d18-a.sdn.cz/d_18/c_img_QQ_LS/XQGDAr.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Vrátkovská, Praha - Strašnice",15 000,Pronájem bytu 2+1 56 m²,2+1,56,15000
525,https://www.sreality.cz/detail/pronajem/byt/2+1/brno-zabrdovice-krokova/2132620876,"https://d18-a.sdn.cz/d_18/c_img_gR_m/ehAWun.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Krokova, Brno - Zábrdovice",13 500,Pronájem bytu 2+1 80 m²,2+1,80,13500
526,https://www.sreality.cz/detail/pronajem/byt/2+1/vsetin-vsetin-luh/1603221068,"https://d18-a.sdn.cz/d_18/c_img_gW_m/EcFV6U.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Luh, Vsetín",17 000,Pronájem bytu 2+1 47 m²,2+1,47,17000
527,https://www.sreality.cz/detail/pronajem/byt/2+1/lovosice-lovosice-terezinska/713545292,"https://d18-a.sdn.cz/d_18/c_img_gR_m/Zamg1.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Terezínská, Lovosice",10 000,Pronájem bytu 2+1 55 m²,2+1,55,10000
528,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-nusle-sinkulova/1055389260,"https://d18-a.sdn.cz/d_18/c_img_QP_Kn/1bmvKr.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Sinkulova, Praha 4 - Nusle",20 000,Pronájem bytu 2+1 67 m²,2+1,67,20000
529,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-zabehlice-tulipanova/3419551308,"https://d18-a.sdn.cz/d_18/c_img_gS_n/H1CZGP.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Tulipánová, Praha 10 - Záběhlice",14 000,Pronájem bytu 2+1 57 m²,2+1,57,14000
530,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-podoli-podolske-nabrezi/671405644,"https://d18-a.sdn.cz/d_18/c_img_gU_m/sKFBk0.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Podolské nábřeží, Praha 4 - Podolí",20 000,Pronájem bytu 2+1 63 m²,2+1,63,20000
531,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-kobylisy-cimicka/1395340876,"https://d18-a.sdn.cz/d_18/c_img_QK_JX/DaVING.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Čimická, Praha 8 - Kobylisy",16 900,Pronájem bytu 2+1 84 m²,2+1,84,16900
532,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-zizkov-kubelikova/1284425292,"https://d18-a.sdn.cz/d_18/c_img_gY_n/0QgGqB.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Kubelíkova, Praha 3 - Žižkov",25 000,Pronájem bytu 3+kk 75 m² (Mezonet),3+kk,75,25000
533,https://www.sreality.cz/detail/pronajem/byt/3+kk/milovice-mlada-kastanova/82429516,"https://d18-a.sdn.cz/d_18/c_img_gV_p/b0ZM3L.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Kaštanová, Milovice - Mladá",16 000,Pronájem bytu 3+kk 73 m² (Mezonet),3+kk,73,16000
534,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-zizkov-strazni/2967979596,"https://d18-a.sdn.cz/d_18/c_img_gV_p/TXsKW5.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Strážní, Praha 3 - Žižkov",14 000,Pronájem bytu 2+1 46 m²,2+1,46,14000
535,https://www.sreality.cz/detail/pronajem/byt/2+1/karlovy-vary-karlovy-vary-charkovska/1279514188,"https://d18-a.sdn.cz/d_18/c_img_QL_Jt/7kduJS.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Charkovská, Karlovy Vary",11 500,Pronájem bytu 2+1 51 m²,2+1,51,11500
